,Crude Oil IPMP,inflation_diff,Official Exchange Rate_diff,Informal Exchange Rate_diff,Monetary Supply (M2)_diff,Interest Rate_diff,General IPMP_diff,Agriculture IPMP_diff,Metals IPMP_diff
2004-03-01,180.5,0.5,-0.0343,-0.020000000000000018,3.299999999999997,0.1349999999999998,15.899999999999977,17.299999999999983,5.0
2004-04-01,177.7,0.30000000000000004,-0.06170000000000009,-0.08000000000000007,3.25,-0.2999999999999998,0.8000000000000114,2.3000000000000114,-3.0
2004-05-01,201.0,-0.20000000000000007,0.0838000000000001,0.0900000000000003,-0.45000000000000284,0.31999999999999984,-2.5999999999999943,-6.199999999999989,-13.700000000000017
2004-06-01,188.2,-0.09999999999999998,0.04059999999999997,0.040000000000000036,-5.549999999999997,0.020000000000000018,-9.599999999999994,-10.600000000000023,0.5
2004-07-01,204.6,-0.09999999999999998,-0.0051000000000001044,-0.010000000000000231,-6.950000000000003,0.08000000000000007,-2.0,-6.099999999999994,6.0
2004-08-01,230.0,-0.2,0.058399999999999785,0.06000000000000005,-10.199999999999996,0.33999999999999986,-19.30000000000001,-28.5,3.6000000000000227
2004-09-01,231.2,0.3,-0.017599999999999838,-0.010000000000000231,-8.0,0.1200000000000001,-7.300000000000011,-8.699999999999989,1.6999999999999886
2004-10-01,265.9,-0.19999999999999996,-0.026800000000000157,-0.029999999999999805,-1.1000000000000014,-0.04499999999999993,-7.599999999999994,-12.600000000000009,3.5999999999999943
2004-11-01,230.2,-0.4,-0.014599999999999724,-0.020000000000000018,-2.6499999999999986,0.08000000000000007,-3.0999999999999943,-0.3999999999999915,3.5
2004-12-01,211.6,0.8,0.01629999999999976,0.010000000000000231,-1.8500000000000014,-0.125,-0.6999999999999886,1.0999999999999943,1.200000000000017
2005-01-01,236.0,0.7,-0.0248999999999997,-0.010000000000000231,1.5,-0.11000000000000032,2.3999999999999773,0.09999999999999432,1.3999999999999773
2005-02-01,244.0,-0.6,-0.030700000000000394,-0.040000000000000036,-3.1499999999999986,-0.07999999999999963,1.6000000000000227,0.8000000000000114,3.3000000000000114
2005-03-01,284.1,0.6,0.01130000000000031,0.010000000000000231,-1.25,0.09999999999999964,12.599999999999994,9.799999999999997,7.599999999999994
2005-04-01,277.6,-1.0,-0.026200000000000223,-0.020000000000000018,-0.8000000000000007,0.3500000000000001,-0.20000000000001705,0.7000000000000028,-3.299999999999983
2005-05-01,259.8,0.09999999999999998,-0.009500000000000064,-0.010000000000000231,-0.6999999999999993,0.4700000000000002,-0.5,2.0999999999999943,-8.5
2005-06-01,290.8,0.30000000000000004,-0.007299999999999862,-0.009999999999999787,2.299999999999997,0.029999999999999805,9.0,7.5,-1.200000000000017
2005-07-01,307.9,0.09999999999999998,-0.01399999999999979,-0.020000000000000018,1.0,0.43999999999999995,0.5,-1.0,0.4000000000000057
2005-08-01,342.7,-0.6,0.01839999999999975,0.009999999999999787,1.3000000000000007,-0.11499999999999977,-6.199999999999989,-11.0,7.400000000000006
2005-09-01,335.7,0.7999999999999999,0.023700000000000276,0.03000000000000025,-0.8000000000000007,0.0950000000000002,-7.0,-7.200000000000003,-1.5
2005-10-01,313.4,-0.3999999999999999,0.054300000000000015,0.06000000000000005,0.9000000000000021,0.08499999999999908,-1.5999999999999943,-0.09999999999999432,1.1999999999999886
2005-11-01,296.3,0.3999999999999999,0.0011999999999998678,0.015000000000000124,2.3000000000000007,0.3750000000000009,-0.700000000000017,0.09999999999999432,3.9000000000000057
2005-12-01,302.6,-0.09999999999999987,0.0472999999999999,0.044999999999999485,-0.7000000000000028,0.1899999999999995,5.5,4.900000000000006,8.5
2006-01-01,338.9,0.19999999999999996,0.03149999999999986,0.04500000000000037,-2.6999999999999993,0.6350000000000007,3.700000000000017,0.5,6.599999999999994
2006-02-01,320.6,-0.9,0.022900000000000365,0.004999999999999893,1.1000000000000014,0.2599999999999998,-1.4000000000000057,-1.0,8.599999999999994
2006-03-01,332.7,0.7999999999999999,0.007399999999999629,0.009999999999999787,-1.9000000000000021,-0.1349999999999998,0.9000000000000057,-0.6000000000000085,7.5
2006-04-01,375.2,-0.19999999999999996,-0.009999999999999787,0.0,-1.5,0.8149999999999995,6.400000000000006,0.7000000000000028,34.400000000000006
2006-05-01,375.2,-0.5,-0.012799999999999923,-0.020000000000000018,0.40000000000000213,0.06500000000000039,6.5,3.299999999999997,43.70000000000002
2006-06-01,367.9,0.0,0.027800000000000047,0.03000000000000025,-0.5,0.05999999999999961,-2.8000000000000114,-0.5999999999999943,-21.80000000000001
2006-07-01,394.5,0.09999999999999998,0.0006999999999997009,0.004999999999999893,-0.1999999999999993,0.3700000000000001,3.0,0.7000000000000028,8.699999999999989
2006-08-01,393.6,0.0,-0.0029999999999996696,-0.004999999999999893,-0.6000000000000014,-0.11000000000000032,-4.400000000000006,-4.400000000000006,-1.8000000000000114
2006-09-01,335.9,0.30000000000000004,0.021099999999999675,0.020000000000000018,0.6000000000000014,0.040000000000000036,-0.4000000000000057,3.4000000000000057,-1.8999999999999773
2006-10-01,312.4,0.0,-0.0015999999999998238,0.0,-0.3000000000000007,0.1900000000000004,4.900000000000006,7.299999999999997,-1.0
2006-11-01,311.5,-0.20000000000000007,-0.022800000000000153,-0.020000000000000018,-1.6000000000000014,-0.16999999999999993,8.5,10.400000000000006,-5.899999999999977
2006-12-01,333.0,0.30000000000000004,-0.01540000000000008,-0.020000000000000018,0.3000000000000007,0.5,-1.1999999999999886,-2.5,-7.400000000000034
2007-01-01,290.8,0.10000000000000009,0.024700000000000166,0.029999999999999805,0.3999999999999986,0.27999999999999936,-2.5,3.1999999999999886,-19.799999999999983
2007-02-01,309.6,-0.8,0.017599999999999838,0.010000000000000231,-0.6999999999999993,-0.5849999999999991,7.799999999999983,6.700000000000017,5.099999999999994
2007-03-01,331.9,0.5,-0.0015999999999998238,0.0,1.6000000000000014,0.3849999999999998,6.0,3.3999999999999773,13.399999999999977
2007-04-01,361.1,-0.10000000000000009,-0.0118999999999998,0.0,2.3999999999999986,-0.125,2.3000000000000114,-2.5999999999999943,27.30000000000001
2007-05-01,360.7,-0.29999999999999993,-0.009100000000000108,0.0,1.3000000000000007,-0.015000000000000568,6.199999999999989,6.700000000000017,1.5
2007-06-01,380.6,0.0,-0.000700000000000145,-0.020000000000000018,0.6499999999999986,0.010000000000000675,11.600000000000023,12.199999999999989,-7.800000000000011
2007-07-01,413.2,0.09999999999999998,0.03230000000000022,0.0349999999999997,1.6500000000000021,0.1299999999999999,3.0,0.30000000000001137,9.900000000000034
2007-08-01,378.8,0.09999999999999998,0.04079999999999995,0.07000000000000028,0.0,0.8049999999999997,0.5999999999999943,3.3999999999999773,-10.0
2007-09-01,411.0,0.20000000000000007,-0.0049000000000001265,-0.004999999999999893,0.0,1.3599999999999994,15.799999999999983,14.400000000000006,9.199999999999989
2007-10-01,443.3,-0.10000000000000009,0.012900000000000134,0.0,0.3000000000000007,0.28500000000000014,5.800000000000011,3.5999999999999943,11.5
2007-11-01,495.7,0.20000000000000007,-0.02450000000000019,-0.040000000000000036,0.1999999999999993,0.040000000000000924,17.30000000000001,17.5,-12.600000000000023
2007-12-01,488.4,0.0,0.0038000000000000256,0.0,-0.40000000000000213,0.5999999999999996,13.599999999999966,15.0,-4.199999999999989
2008-01-01,491.5,0.0,0.0047000000000001485,0.020000000000000018,0.6000000000000014,-1.5150000000000006,19.200000000000045,18.30000000000001,14.900000000000034
2008-02-01,504.6,-0.4,0.013900000000000023,0.0,-0.8000000000000007,-0.7149999999999999,16.0,13.199999999999989,26.899999999999977
2008-03-01,550.9,0.6000000000000001,-0.0024999999999999467,0.0,-0.5,-0.03999999999999915,-4.2000000000000455,-7.699999999999989,20.69999999999999
2008-04-01,589.4,-0.30000000000000004,0.010699999999999932,0.020000000000000018,-1.4499999999999993,0.11999999999999922,-3.1999999999999886,-4.800000000000011,3.900000000000034
2008-05-01,659.9,-0.20000000000000007,-0.01540000000000008,0.029999999999999805,-1.6499999999999986,1.2100000000000009,4.199999999999989,3.0,-7.400000000000034
2008-06-01,713.6,0.0,-0.1076999999999999,-0.10999999999999988,-4.950000000000003,3.9849999999999994,28.30000000000001,27.400000000000034,0.5
2008-07-01,717.3,-0.19999999999999996,-0.02110000000000012,-0.050000000000000266,-3.4499999999999993,-0.8800000000000008,5.199999999999989,4.5,7.199999999999989
2008-08-01,609.0,0.09999999999999998,0.01100000000000012,0.0,-2.3999999999999986,-1.379999999999999,-45.799999999999955,-40.80000000000001,-31.0
2008-09-01,529.8,0.0,0.0490999999999997,0.07000000000000028,-0.40000000000000036,0.29499999999999993,-20.700000000000045,-16.900000000000006,-20.099999999999966
2008-10-01,389.7,-0.09999999999999998,0.15610000000000035,0.17999999999999972,-0.5,1.7899999999999991,-56.599999999999966,-47.70000000000002,-60.5
2008-11-01,286.4,-0.10000000000000003,0.0907,0.06000000000000005,-3.5999999999999996,4.130000000000001,-12.600000000000023,-6.299999999999983,-36.60000000000002
2008-12-01,219.6,0.0,0.09339999999999993,0.0900000000000003,0.0,-1.1700000000000017,-6.399999999999977,-1.9000000000000057,-20.399999999999977
2009-01-01,239.9,0.2,0.04139999999999988,0.05999999999999961,-1.0,-2.3099999999999987,17.599999999999994,17.099999999999994,6.099999999999994
2009-02-01,232.0,-0.09999999999999998,0.047499999999999876,0.020000000000000018,-0.7000000000000011,-2.1799999999999997,-7.900000000000006,-8.400000000000006,2.6999999999999886
2009-03-01,250.7,0.19999999999999996,0.14250000000000007,0.1900000000000004,-2.5999999999999996,-0.10999999999999943,-0.6999999999999886,-2.299999999999983,5.800000000000011
2009-04-01,274.9,-0.3,0.0394000000000001,0.0,-3.1,0.2400000000000002,19.599999999999994,18.19999999999999,13.199999999999989
2009-05-01,309.6,0.0,0.031099999999999905,0.03999999999999959,-0.2999999999999998,0.08000000000000007,21.5,20.400000000000006,6.800000000000011
2009-06-01,366.9,0.10000000000000003,0.04360000000000008,0.06000000000000005,3.65,-0.02000000000000135,10.599999999999994,7.0,13.799999999999983
2009-07-01,346.4,0.19999999999999996,0.04159999999999986,0.020000000000000018,2.3499999999999996,0.19000000000000128,-23.69999999999999,-24.69999999999999,7.300000000000011
2009-08-01,386.6,0.20000000000000007,0.02950000000000008,0.0,-0.7999999999999998,-0.2350000000000012,8.299999999999983,3.8999999999999773,27.899999999999977
2009-09-01,360.8,-0.10000000000000009,0.0032000000000000917,0.0,0.6000000000000005,-0.5149999999999988,-10.0,-8.899999999999977,-4.099999999999966
2009-10-01,390.3,0.10000000000000009,-0.016199999999999992,-0.029999999999999805,0.5,-0.22000000000000064,-4.599999999999994,-6.900000000000006,5.0
2009-11-01,409.7,0.0,-0.015200000000000102,-0.010000000000000231,4.15,-0.7949999999999999,8.0,5.799999999999983,16.0
2009-12-01,398.5,0.09999999999999998,-0.0040000000000000036,0.010000000000000231,2.1499999999999986,-0.9150000000000009,2.4000000000000057,2.1000000000000227,11.399999999999977
2010-01-01,406.4,0.09999999999999998,-0.0028000000000001357,0.04999999999999982,2.6999999999999993,-0.10499999999999865,-4.0,-5.600000000000023,7.0
2010-02-01,396.8,0.19999999999999996,0.04700000000000015,0.050000000000000266,0.3500000000000014,-0.08999999999999986,-8.599999999999994,-7.5,-12.599999999999966
2010-03-01,423.0,-0.09999999999999987,0.011499999999999844,-0.025000000000000355,0.6499999999999986,-0.20000000000000107,-0.20000000000001705,-3.6999999999999886,16.0
2010-04-01,453.7,-0.30000000000000004,0.0134000000000003,0.015000000000000124,3.200000000000003,-0.14000000000000057,9.0,6.599999999999994,13.199999999999989
2010-05-01,408.8,-0.10000000000000009,0.025900000000000034,0.020000000000000018,1.5,-0.14499999999999957,-4.099999999999994,-0.09999999999999432,-13.699999999999989
2010-06-01,400.1,0.0,0.024499999999999744,0.06999999999999984,0.29999999999999716,0.40000000000000036,1.0999999999999943,2.8000000000000114,-8.200000000000045
2010-07-01,399.3,0.10000000000000009,0.008300000000000196,0.0,1.6000000000000014,0.09999999999999964,9.5,10.699999999999989,0.0
2010-08-01,409.3,-0.10000000000000009,0.0028000000000001357,0.0,4.100000000000001,0.25,8.200000000000017,6.599999999999994,14.700000000000045
2010-09-01,415.0,0.0,0.01429999999999998,0.0,1.4499999999999993,0.06500000000000128,4.0,2.3000000000000114,14.599999999999966
2010-10-01,442.9,0.10000000000000009,0.00509999999999966,0.020000000000000462,2.2499999999999964,-0.005000000000000782,14.0,11.299999999999983,20.0
2010-11-01,457.7,-0.10000000000000009,0.010600000000000165,0.009999999999999787,1.25,-0.02999999999999936,16.69999999999999,16.80000000000001,5.800000000000011
2010-12-01,489.9,0.10000000000000009,0.009999999999999787,0.03000000000000025,-0.14999999999999858,0.10999999999999943,12.699999999999989,10.699999999999989,12.600000000000023
2011-01-01,514.4,-0.10000000000000009,0.0037000000000002586,0.0699999999999994,-6.599999999999998,0.0,14.199999999999989,13.700000000000017,5.099999999999966
2011-02-01,554.8,0.0,0.04070000000000018,0.010000000000000675,7.199999999999999,-0.25,3.1000000000000227,0.19999999999998863,8.400000000000034
2011-03-01,611.8,0.10000000000000009,0.015200000000000102,0.009999999999999787,2.8999999999999986,-0.16000000000000014,-1.1999999999999886,-4.099999999999994,0.8999999999999773
2011-04-01,658.9,0.0,0.02829999999999977,0.040000000000000036,0.5500000000000043,0.34999999999999964,6.599999999999966,4.0,10.100000000000023
2011-05-01,611.4,-0.10000000000000009,0.01839999999999975,0.08999999999999986,1.25,0.39000000000000057,-3.599999999999966,-1.1999999999999886,-5.800000000000011
2011-06-01,607.3,0.0,0.012100000000000222,0.0,0.14999999999999858,0.009999999999999787,1.1999999999999886,1.0999999999999943,2.3999999999999773
2011-07-01,622.1,0.10000000000000009,0.03160000000000007,0.0,0.75,0.1899999999999995,0.0,-1.9000000000000057,12.699999999999989
2011-08-01,587.5,0.0,0.04039999999999999,0.05999999999999961,0.3999999999999986,0.28000000000000114,-0.5,-0.4000000000000057,9.0
2011-09-01,602.6,0.0,0.03620000000000001,0.09000000000000075,-1.8499999999999943,-0.06500000000000128,-6.300000000000011,-5.900000000000006,-10.0
2011-10-01,584.8,-0.20000000000000007,0.017900000000000027,-0.004999999999999893,-3.250000000000007,2.26,-23.099999999999966,-20.099999999999994,-30.799999999999955
2011-11-01,590.0,0.0,0.038000000000000256,0.3049999999999997,-2.3999999999999986,2.735000000000001,-3.900000000000034,-4.799999999999983,6.5
2011-12-01,577.0,0.20000000000000007,0.028699999999999726,-0.07000000000000028,-0.20000000000000284,-0.1899999999999995,-4.899999999999977,-3.4000000000000057,-11.5
2012-01-01,592.5,0.09999999999999998,0.031799999999999606,0.13999999999999968,4.300000000000004,-1.540000000000001,13.099999999999966,11.699999999999989,11.399999999999977
2012-02-01,639.9,-0.20000000000000007,0.0257000000000005,-0.0699999999999994,-7.400000000000002,-0.7349999999999994,12.700000000000045,9.700000000000017,17.0
2012-03-01,668.2,0.20000000000000007,0.009999999999999787,0.04999999999999982,0.3000000000000007,-0.7800000000000011,14.0,14.199999999999989,-6.699999999999989
2012-04-01,645.2,-0.09999999999999998,0.04150000000000009,0.21999999999999975,0.6000000000000014,-0.5350000000000001,6.599999999999966,8.5,-9.0
2012-05-01,590.2,0.0,0.05259999999999998,0.54,-0.10000000000000142,-0.1899999999999995,-4.0,-0.5,-14.900000000000034
2012-06-01,512.3,-0.10000000000000009,0.047399999999999665,0.39500000000000046,1.6999999999999993,0.3200000000000003,-0.6999999999999886,3.6000000000000227,-7.7999999999999545
2012-07-01,551.2,0.10000000000000009,0.055000000000000604,0.375,1.0000000000000036,0.41000000000000014,36.39999999999998,37.799999999999955,-0.10000000000002274
2012-08-01,605.8,0.09999999999999998,0.056999999999999496,0.004999999999999893,-0.9000000000000021,0.504999999999999,16.100000000000023,15.300000000000011,-2.1000000000000227
2012-09-01,607.8,0.0,0.060100000000000264,-0.004999999999999893,0.9000000000000021,-0.6749999999999989,-3.5,-7.300000000000011,22.400000000000034
2012-10-01,598.4,-0.09999999999999998,0.05999999999999961,-0.05000000000000071,2.0999999999999943,1.4049999999999994,-16.19999999999999,-17.599999999999966,1.8000000000000114
2012-11-01,585.6,0.09999999999999998,0.0674999999999999,0.08500000000000085,1.0,0.2599999999999998,-11.300000000000011,-10.800000000000011,-7.300000000000011
2012-12-01,586.3,0.09999999999999998,0.08260000000000023,0.16499999999999915,0.0,0.21499999999999986,0.0,-0.6999999999999886,5.0
2013-01-01,602.6,0.10000000000000009,0.0686,0.9100000000000001,2.200000000000003,-0.049999999999998934,-4.699999999999989,-6.5,3.8999999999999773
2013-02-01,623.4,-0.6000000000000001,0.0625,0.29000000000000004,-0.6000000000000014,-0.6500000000000004,1.099999999999966,0.6999999999999886,-2.3000000000000114
2013-03-01,584.2,0.19999999999999996,0.07289999999999974,0.27000000000000046,-2.1000000000000014,0.7300000000000004,-5.199999999999989,-1.6999999999999886,-16.5
2013-04-01,548.4,0.0,0.07150000000000034,0.5849999999999991,-0.29999999999999716,0.3200000000000003,-14.199999999999989,-11.100000000000023,-19.799999999999955
2013-05-01,551.3,0.0,0.08439999999999959,0.375,-1.8999999999999986,0.46499999999999986,9.300000000000011,11.5,-8.5
2013-06-01,550.0,0.10000000000000009,0.0893000000000006,-0.8999999999999986,-2.5500000000000007,0.4949999999999992,4.899999999999977,7.800000000000011,-14.400000000000034
2013-07-01,576.4,0.09999999999999998,0.11169999999999991,0.4549999999999983,-0.3500000000000014,0.4800000000000004,0.10000000000002274,-0.19999999999998863,-6.5
2013-08-01,592.4,-0.09999999999999998,0.1405000000000003,0.34500000000000064,-2.1999999999999993,0.3000000000000007,-25.100000000000023,-30.400000000000006,14.699999999999989
2013-09-01,597.6,0.0,0.1556999999999995,0.40000000000000036,-0.3999999999999986,0.4499999999999993,2.6000000000000227,3.0999999999999943,-2.5
2013-10-01,585.0,0.09999999999999998,0.11110000000000042,0.5050000000000008,0.3999999999999986,0.3550000000000004,-19.900000000000034,-20.30000000000001,-2.3999999999999773
2013-11-01,577.2,0.0,0.16669999999999963,0.09499999999999886,-0.6499999999999986,0.19500000000000028,-2.1999999999999886,-1.0999999999999943,-7.399999999999977
2013-12-01,591.8,0.4999999999999999,0.30430000000000046,-0.1999999999999993,-1.4500000000000028,0.7899999999999991,6.699999999999989,7.099999999999994,-5.7000000000000455
2014-01-01,574.4,2.2,0.7774999999999999,1.9499999999999993,-2.099999999999998,0.8900000000000006,-5.7999999999999545,-5.699999999999989,2.400000000000034
2014-02-01,581.3,-0.20000000000000018,0.7597999999999994,0.20000000000000107,-2.3500000000000014,3.875,10.699999999999989,10.699999999999989,1.6999999999999886
2014-03-01,575.0,-0.7999999999999998,0.07480000000000064,-0.9000000000000004,-1.75,0.46499999999999986,7.0,8.0,-5.100000000000023
2014-04-01,576.4,-0.8,0.07000000000000028,-0.40000000000000036,-1.3000000000000007,0.34999999999999787,8.199999999999989,8.699999999999989,-0.19999999999998863
2014-05-01,586.0,-0.40000000000000013,0.04139999999999944,0.6750000000000007,0.3000000000000007,-1.1149999999999984,-1.0,-1.099999999999966,-3.3999999999999773
