Período;"IPMP
(dic-01=100)";"IPMP
Agropecuario
(dic-01=100)";"IPMP
Metales
(dic-01=100)";"IPMP
Petróleo
(dic-01=100)"
jun-09;243.0;215.0;232.2;366.9
jul-09;219.3;190.3;239.5;346.4
ago-09;227.6;194.2;267.4;386.6
sep-09;217.6;185.3;263.3;360.8
oct-09;213.0;178.4;268.3;390.3
nov-09;221.0;184.2;284.3;409.7
dic-09;223.4;186.3;295.7;398.5
ene-10;219.4;180.7;302.7;406.4
feb-10;210.8;173.2;290.1;396.8
mar-10;210.6;169.5;306.1;423.0
abr-10;219.6;176.1;319.3;453.7
may-10;215.5;176.0;305.6;408.8
jun-10;216.6;178.8;297.4;400.1
jul-10;226.1;189.5;297.4;399.3
ago-10;234.3;196.1;312.1;409.3
sep-10;238.3;198.4;326.7;415.0
oct-10;252.3;209.7;346.7;442.9
nov-10;269.0;226.5;352.5;457.7
dic-10;281.7;237.2;365.1;489.9
ene-11;295.9;250.9;370.2;514.4
feb-11;299.0;251.1;378.6;554.8
mar-11;297.8;247.0;379.5;611.8
abr-11;304.4;251.0;389.6;658.9
may-11;300.8;249.8;383.8;611.4
jun-11;302.0;250.9;386.2;607.3
jul-11;302.0;249.0;398.9;622.1
ago-11;301.5;248.6;407.9;587.5
sep-11;295.2;242.7;397.9;602.6
oct-11;272.1;222.6;367.1;584.8
nov-11;268.2;217.8;373.6;590.0
dic-11;263.3;214.4;362.1;577.0
ene-12;276.4;226.1;373.5;592.5
feb-12;289.1;235.8;390.5;639.9
mar-12;303.1;250.0;383.8;668.2
abr-12;309.7;258.5;374.8;645.2
may-12;305.7;258.0;359.9;590.2
jun-12;305.0;261.6;352.1;512.3
jul-12;341.4;299.4;352.0;551.2
ago-12;357.5;314.7;349.9;605.8
sep-12;354.0;307.4;372.3;607.8
oct-12;337.8;289.8;374.1;598.4
nov-12;326.5;279.0;366.8;585.6
dic-12;326.5;278.3;371.8;586.3
ene-13;321.8;271.8;375.7;602.6
feb-13;322.9;272.5;373.4;623.4
mar-13;317.7;270.8;356.9;584.2
abr-13;303.5;259.7;337.1;548.4
may-13;312.8;271.2;328.6;551.3
jun-13;317.7;279.0;314.2;550.0
jul-13;317.8;278.8;307.7;576.4
ago-13;292.7;248.4;322.4;592.4
sep-13;295.3;251.5;319.9;597.6
oct-13;275.4;231.2;317.5;585.0
nov-13;273.2;230.1;310.1;577.2
dic-13;279.9;237.2;304.4;591.8
ene-14;274.1;231.5;306.8;574.4
feb-14;284.8;242.2;308.5;581.3
mar-14;291.8;250.2;303.4;575.0
abr-14;300.0;258.9;303.2;576.4
may-14;299.0;257.8;299.8;586.0
jun-14;290.9;249.1;298.5;598.1
jul-14;268.9;226.1;309.0;571.6
ago-14;264.8;223.0;306.4;544.9
sep-14;265.9;226.2;295.2;519.8
